iter	Passed	Remaining
0	49	49074
1	50	25330
2	51	17146
3	52	13023
4	53	10671
5	54	9075
6	56	7944
7	57	7103
8	58	6395
9	58	5817
10	59	5329
11	59	4924
12	60	4585
13	61	4300
14	61	4062
15	63	3880
16	64	3710
17	65	3551
18	65	3401
19	66	3255
20	67	3132
21	68	3026
22	68	2930
23	69	2843
24	70	2756
25	71	2678
26	72	2607
27	73	2538
28	73	2466
29	74	2403
30	74	2343
31	75	2294
32	76	2245
33	77	2214
34	78	2166
35	79	2128
36	80	2086
37	80	2048
38	81	2020
39	83	2001
40	84	1976
41	85	1947
42	86	1915
43	86	1888
44	87	1859
45	88	1829
46	89	1807
47	90	1786
48	91	1769
49	92	1751
50	92	1728
51	93	1707
52	94	1688
53	95	1667
54	96	1650
55	96	1635
56	97	1620
57	98	1603
58	99	1588
59	100	1570
60	100	1553
61	101	1540
62	102	1528
63	103	1519
64	104	1506
65	105	1498
66	106	1484
67	107	1471
68	108	1461
69	108	1447
70	109	1436
71	110	1426
72	111	1420
73	112	1410
74	113	1403
75	114	1391
76	115	1378
77	115	1367
78	117	1364
79	118	1361
80	119	1352
81	120	1344
82	120	1330
83	121	1319
84	121	1310
85	122	1301
86	123	1293
87	124	1286
88	124	1277
89	125	1269
90	126	1262
91	127	1254
92	127	1247
93	128	1240
94	129	1232
95	130	1227
96	131	1220
97	131	1213
98	132	1208
99	133	1201
100	134	1193
101	134	1188
102	135	1184
103	136	1177
104	137	1171
105	139	1173
106	139	1166
107	140	1160
108	141	1155
109	141	1148
110	142	1143
111	146	1158
112	146	1152
113	147	1146
114	148	1141
115	149	1136
116	149	1129
117	150	1127
118	152	1126
119	153	1124
120	154	1118
121	154	1111
122	155	1106
123	155	1101
124	156	1096
125	157	1092
126	158	1088
127	159	1085
128	160	1081
129	161	1077
130	161	1073
131	162	1067
132	163	1062
133	163	1057
134	164	1055
135	166	1055
136	166	1051
137	167	1048
138	168	1044
139	170	1047
140	171	1045
141	172	1039
142	173	1036
143	173	1033
144	174	1028
145	175	1025
146	176	1023
147	177	1020
148	178	1018
149	179	1017
150	180	1015
151	181	1010
152	181	1005
153	182	1000
154	182	996
155	183	992
156	184	989
157	186	991
158	187	989
159	187	985
160	187	979
161	188	975
162	189	971
163	189	968
164	190	964
165	191	964
166	193	963
167	193	960
168	194	957
169	195	954
170	196	951
171	196	947
172	197	944
173	198	942
174	199	940
175	200	937
176	200	933
177	201	931
178	202	928
179	203	925
180	203	921
181	204	918
182	205	915
183	205	913
184	206	910
185	207	908
186	208	905
187	208	902
188	209	899
189	210	895
190	210	892
191	211	890
192	212	890
193	214	889
194	214	886
195	215	884
196	216	880
197	216	877
198	217	874
199	217	871
200	218	869
201	219	867
202	220	867
203	221	864
204	222	861
205	222	858
206	223	856
207	224	853
208	224	850
209	225	848
210	226	846
211	227	843
212	227	841
213	228	838
214	228	835
215	229	833
216	230	831
217	231	829
218	232	827
219	233	828
220	234	826
221	235	823
222	235	821
223	236	818
224	236	816
225	237	813
226	238	811
227	238	808
228	239	807
229	240	806
230	241	804
231	242	802
232	243	799
233	243	798
234	244	795
235	245	793
236	246	792
237	247	792
238	248	790
239	248	787
240	249	785
241	250	783
242	251	782
243	251	780
244	252	779
245	253	777
246	254	776
247	255	774
248	256	772
249	256	770
250	257	768
251	258	766
252	258	764
253	259	762
254	261	762
255	261	761
256	262	760
257	263	758
258	264	756
259	265	756
260	267	756
261	268	755
262	269	753
263	269	751
264	270	749
265	270	747
266	271	746
267	272	744
268	273	742
269	273	740
270	275	739
271	275	738
272	276	736
273	277	734
274	277	732
275	278	730
276	279	728
277	279	726
278	281	726
279	282	725
280	282	723
281	283	721
282	283	719
283	284	717
284	285	715
285	285	713
286	287	713
287	288	712
288	289	711
289	289	709
290	291	709
291	292	708
292	292	706
293	293	704
294	294	704
295	295	703
296	296	701
297	296	699
298	297	697
299	298	695
300	298	693
301	299	692
302	300	691
303	301	691
304	302	689
305	303	687
306	304	686
307	304	684
308	305	682
309	305	681
310	306	679
311	307	678
312	308	677
313	309	675
314	309	673
315	310	671
316	310	669
317	311	668
318	312	667
319	313	665
